sessionsCount,sessionsWithMetricPercentage,sessionsWithoutMetricPercentage,pagesViews,subTotal,Url,Device,OS,metricName,averageScrollDepth,totalSessionCount,totalBotSessionCount,distinctUserCount,pagesPerSessionPercentage,totalTime,activeTime
1.0,0.0x,100.0,0.0,0.0,2691,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2229,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2520,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2358,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2069,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3452,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1617,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3285,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1217,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2963,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2755,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,854,1,2,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2207,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2469,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2684,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1166,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,733,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1350,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3209,1,2,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,341,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,550,1,2,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3434,1,2,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,16,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2975,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2910,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1106,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1377,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2526,2,3,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1693,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3162,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1691,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,664,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,686,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2897,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1433,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,2397,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3240,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1958,1,0,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,3204,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,889,2,6,0,,,,,,,
1.0,0.0,100.0,0.0,0.0,1046,2,6,0,,,,,,,
